io_mode,bandwidth,total_size,block_size,latency
1,7.0,30.0,25.0,1.5445044040679932
1,7.0,30.0,26.0,1.5110952854156494
1,7.0,30.0,27.0,1.4513916969299316
1,7.0,30.0,28.0,1.4221863746643066
1,7.0,30.0,29.0,1.4207112789154053
1,7.0,30.0,30.0,1.4074952602386477
1,7.0,31.0,17.0,13.75061845779419
1,7.0,31.0,18.0,9.576880931854248
1,7.0,31.0,19.0,6.072328567504883
1,7.0,31.0,20.0,5.592491149902344
1,7.0,31.0,21.0,5.456031799316406
1,7.0,31.0,22.0,4.064610004425049
1,7.0,31.0,23.0,3.2913248538970947
1,7.0,31.0,24.0,2.9775607585906982
1,7.0,31.0,25.0,3.057009696960449
1,7.0,31.0,26.0,2.944977045059204
1,7.0,31.0,27.0,2.906104564666748
1,7.0,31.0,28.0,2.861590623855591
1,7.0,31.0,29.0,2.855543375015259
1,7.0,31.0,30.0,2.802165508270264
1,7.0,32.0,17.0,38.07254886627197
1,7.0,32.0,18.0,18.83927702903748
1,7.0,32.0,19.0,14.954891920089722
1,7.0,32.0,20.0,11.1479332447052
1,7.0,32.0,21.0,10.944471597671509
1,7.0,32.0,22.0,8.308898448944092
1,7.0,32.0,23.0,7.602050542831421
1,7.0,32.0,24.0,6.453425884246826
1,7.0,32.0,25.0,6.21362566947937
1,7.0,32.0,26.0,6.174760818481445
1,7.0,32.0,27.0,5.980704307556152
1,7.0,32.0,28.0,5.81358003616333
1,7.0,32.0,29.0,6.354391098022461
1,7.0,32.0,30.0,6.125317811965942
1,7.0,33.0,17.0,61.913716316223145
1,7.0,33.0,18.0,45.02216553688049
1,7.0,33.0,19.0,37.8164279460907
1,7.0,33.0,20.0,24.109143257141117
1,7.0,33.0,21.0,21.854421138763428
1,7.0,33.0,22.0,17.048213243484497
1,7.0,33.0,23.0,14.75663948059082
1,7.0,33.0,24.0,12.458870887756348
1,7.0,33.0,25.0,12.251059532165527
1,7.0,33.0,26.0,11.954009294509888
1,7.0,33.0,27.0,11.68212628364563
1,7.0,33.0,28.0,11.823673009872437
1,7.0,33.0,29.0,12.337522745132446
1,7.0,33.0,30.0,11.58351182937622
1,8.0,30.0,17.0,6.830624103546143
1,8.0,30.0,18.0,3.7479360103607178
1,8.0,30.0,19.0,2.8538174629211426
1,8.0,30.0,20.0,2.496444702148437
1,8.0,30.0,21.0,2.6065709590911865
1,8.0,30.0,22.0,1.7361211776733398
1,8.0,30.0,23.0,1.5192086696624756
1,8.0,30.0,24.0,1.3607401847839355
1,8.0,30.0,25.0,1.4533486366271973
1,8.0,30.0,26.0,1.3897833824157717
1,8.0,30.0,27.0,1.3485794067382812
1,8.0,30.0,28.0,1.32293438911438
1,8.0,30.0,29.0,1.3005266189575195
1,8.0,30.0,30.0,1.3052875995635986
1,8.0,31.0,17.0,14.23329472541809
1,8.0,31.0,18.0,9.52090072631836
1,8.0,31.0,19.0,5.734593629837036
1,8.0,31.0,20.0,5.079549074172974
1,8.0,31.0,21.0,4.905341148376465
1,8.0,31.0,22.0,3.8210949897766113
1,8.0,31.0,23.0,2.9971110820770264
1,8.0,31.0,24.0,2.681414604187012
1,8.0,31.0,25.0,2.859594821929932
1,8.0,31.0,26.0,2.7300028800964355
1,8.0,31.0,27.0,2.760399341583252
1,8.0,31.0,28.0,2.669966697692871
1,8.0,31.0,29.0,2.625221967697144
1,8.0,31.0,30.0,2.611556053161621
